TOWN,MEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
Brookline,30.7,0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79
Brookline,50,0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,7.44
Brookline,43.5,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16
Quincy,22.8,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54
Quincy,20.3,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97
Quincy,16.1,2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64
Quincy,22.1,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98
Quincy,19.4,0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72
Quincy,21.6,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9
Quincy,23.8,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28
Quincy,16.2,0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5
Quincy,17.8,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33
Quincy,19.8,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94
Quincy,23.1,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36
Quincy,21,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73
Boston,17.8,8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6
Boston,21.7,3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,13.27
Boston,22.7,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48
Boston,22.6,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67
Boston,25,4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79
Boston,19.9,3.83684,0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,14.19
Boston,20.8,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19
Boston,16.8,4.22239,0,18.1,1,0.77,5.803,89,1.9047,24,666,20.2,14.64
Boston,21.9,3.47428,0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,5.29
Boston,27.5,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12
Boston,21.9,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14
Boston,23.1,13.5222,0,18.1,0,0.631,3.863,100,1.5106,24,666,20.2,13.33
Boston,50,4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26
Boston,50,5.66998,0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,3.73
Boston,50,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96
Boston,50,9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53
Boston,50,8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88
Boston,13.8,11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,34.77
Boston,13.8,18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97
Boston,15,19.6091,0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,13.44
Boston,13.9,15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24
Boston,13.3,9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24
Boston,13.1,23.6482,0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,23.69
Boston,10.2,17.8667,0,18.1,0,0.671,6.223,100,1.3861,24,666,20.2,21.78
Boston,10.4,88.9762,0,18.1,0,0.671,6.968,91.9,1.4165,24,666,20.2,17.21
Boston,10.9,15.8744,0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,21.08
Boston,11.3,9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,23.6
Boston,12.3,7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,24.56
Boston,8.8,20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63
Boston,7.2,16.8118,0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,30.81
Boston,10.5,24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,28.28
Boston,7.4,22.5971,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,31.99
Boston,10.2,14.3337,0,18.1,0,0.7,4.88,100,1.5895,24,666,20.2,30.62
Boston,11.5,8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85
Boston,15.1,6.96215,0,18.1,0,0.7,5.713,97,1.9265,24,666,20.2,17.11
Boston,23.2,5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76
Boston,9.7,11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,25.68
Boston,13.8,8.64476,0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,15.17
Boston,12.7,13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35
Boston,13.1,8.71675,0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,17.12
Boston,12.5,5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37
Boston,8.5,7.67202,0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,19.92
Boston,5,38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,30.59
Boston,6.3,9.91655,0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,29.97
Boston,5.6,25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,26.77
Boston,7.2,14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32
Boston,12.1,9.59571,0,18.1,0,0.693,6.404,100,1.639,24,666,20.2,20.31
Boston,8.3,24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,19.77
Boston,8.5,41.5292,0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,27.38
Boston,5,67.9208,0,18.1,0,0.693,5.683,100,1.4254,24,666,20.2,22.98
Boston,11.9,20.7162,0,18.1,0,0.659,4.138,100,1.1781,24,666,20.2,23.34
Boston,27.9,11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,12.13
Boston,17.2,7.40389,0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,26.4
Boston,27.5,14.4383,0,18.1,0,0.597,6.852,100,1.4655,24,666,20.2,19.78
Boston,15,51.1358,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,10.11
Boston,17.2,14.0507,0,18.1,0,0.597,6.657,100,1.5275,24,666,20.2,21.22
Boston,17.9,18.811,0,18.1,0,0.597,4.628,100,1.5539,24,666,20.2,34.37
Boston,16.3,28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,20.08
Boston,7,45.7461,0,18.1,0,0.693,4.519,100,1.6582,24,666,20.2,36.98
Boston,7.2,18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,29.05
Boston,7.5,10.8342,0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,25.79
Boston,10.4,25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,26.64
Boston,8.8,73.5341,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,20.62
Boston,8.4,11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74
Boston,16.7,11.0874,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,15.02
Boston,14.2,7.02259,0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,15.7
Boston,20.8,12.0482,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,14.1
Boston,13.4,7.05042,0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,23.29
Boston,11.7,8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16
Boston,8.3,15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39
Boston,10.2,12.2472,0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,15.69
Boston,10.9,37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,14.52
Boston,11,7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52
Boston,9.5,9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08
Boston,14.5,8.49213,0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,17.64
Boston,14.1,10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69
Boston,16.1,6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03
Boston,14.3,5.58107,0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,16.22
Boston,11.7,13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,15.17
Boston,13.4,11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,23.27
Boston,9.6,14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,18.05
Boston,8.7,15.1772,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45
Boston,8.4,13.6781,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,34.02
Boston,12.8,9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88
Boston,10.5,22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,22.11
Boston,17.1,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52
Boston,18.4,5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59
Boston,15.4,9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85
Boston,10.8,12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79
Boston,11.8,10.6718,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,23.98
Boston,14.9,6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,17.79
Boston,12.6,9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44
Boston,14.1,9.32909,0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13
Boston,13,7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,19.31
Boston,13.4,6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44
Boston,15.2,5.44114,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,17.73
Boston,16.1,5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27
Boston,17.8,8.24809,0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,16.74
Boston,14.9,9.51363,0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,18.71
Boston,14.1,4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13
Boston,12.7,4.66883,0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,19.01
Boston,13.5,8.20058,0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,16.94
Boston,14.9,7.75223,0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,16.23
Boston,20,6.80117,0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,14.7
Boston,16.4,4.81213,0,18.1,0,0.713,6.701,90,2.5975,24,666,20.2,16.42
Boston,17.7,3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65
Boston,19.5,6.65492,0,18.1,0,0.713,6.317,83,2.7344,24,666,20.2,13.99
Boston,20.2,5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29
Boston,21.4,7.83932,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22
Boston,19.9,3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13
Boston,19,3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15
Boston,19.1,4.42228,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,21.32
Boston,19.1,15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13
Boston,20.1,13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,14.76
Boston,19.9,4.34879,0,18.1,0,0.58,6.167,84,3.0334,24,666,20.2,16.29
Boston,19.6,4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87
Boston,23.2,3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,14.36
Boston,29.8,4.64689,0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,11.66
Boston,13.8,8.05579,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,18.14
Boston,13.3,6.39312,0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,24.1
Boston,16.7,4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68
Boston,12,15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91
Boston,14.6,10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03
Boston,21.4,14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11
Boston,23,5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74
Boston,23.7,5.70818,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74
Boston,25,5.73116,0,18.1,0,0.532,7.061,77,3.4106,24,666,20.2,7.01
Boston,21.8,2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42
Boston,20.6,2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34
Boston,21.2,3.67367,0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,10.58
Boston,19.1,5.69175,0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,14.98
Boston,20.6,4.83567,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45
