TOWN,MEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,LSTAT
Brookline,30.7,0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79
Brookline,50,0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,7.44
Brookline,43.5,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16
Quincy,22.8,0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54
Quincy,20.3,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97
Quincy,16.1,2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64
Quincy,22.1,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98
Quincy,19.4,0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72
Quincy,21.6,0.26938,0,9.9,0,0.544,6.266,82.8,3.2628,4,304,18.4,7.9
Quincy,23.8,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28
Quincy,16.2,0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5
Quincy,17.8,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33
Quincy,19.8,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94
Quincy,23.1,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36
Quincy,21,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73
